sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
7,1665976,31.480703,9.127369,36.159409,114056.585938,air
0,1668591,31.46957,9.126394,37.272343,120159.585938,air
1,1668646,31.456137,9.125704,37.49213,98975.453125,air
2,1668701,31.615149,9.128138,36.823528,104810.648438,air
3,1668756,31.767303,9.128078,36.529358,128385.15625,air
4,1668811,32.146481,9.130177,35.471287,105133.46875,air
5,1668866,31.856577,9.129318,36.050041,91822.09375,air
6,1668921,31.588766,9.126538,36.182381,80859.125,air
7,1668976,31.478153,9.127508,36.200054,114438.984375,air
0,1671591,31.482132,9.126685,37.279533,121011.578125,air
1,1671647,31.473959,9.125993,37.511684,99032.882812,air
2,1671701,31.627813,9.128284,36.830734,104553.804688,air
3,1671756,31.77236,9.128222,36.541504,128675.546875,air
4,1671811,32.169178,9.130548,35.502689,105263.15625,air
5,1671866,31.864151,9.129379,36.068439,91624.914062,air
6,1671921,31.618967,9.126463,36.220531,81244.046875,air
7,1671976,31.496023,9.127472,36.236984,114285.710938,air
0,1674591,31.464544,9.126619,37.289375,120075.046875,air
1,1674646,31.471415,9.126077,37.511414,99090.382812,air
2,1674701,31.62528,9.128264,36.83633,103980.5,air
3,1674756,31.77742,9.128332,36.547848,128772.632812,air
4,1674811,32.164131,9.130508,35.531246,105458.289062,air
5,1674866,31.856577,9.129337,36.085274,91921.007812,air
6,1674922,31.586252,9.126763,36.246307,81089.640625,air
7,1674976,31.465387,9.127372,36.216263,114901.257812,air
0,1677591,31.459522,9.126582,37.282978,120413.921875,air
1,1677646,31.47905,9.126017,37.500465,99263.28125,air
2,1677701,31.605017,9.128137,36.834198,104234.53125,air
3,1677756,31.77236,9.12824,36.535694,128385.15625,air
4,1677811,32.154045,9.130414,35.536022,105850.734375,air
5,1677866,31.843945,9.129285,36.083958,92020.132812,air
6,1677921,31.583735,9.126884,36.275227,81244.046875,air
7,1677976,31.460281,9.127544,36.250805,114285.710938,air
0,1680591,31.47962,9.12656,37.261703,121097.445312,air
1,1680647,31.486689,9.12571,37.471878,98632.25,air
2,1680701,31.622747,9.128211,36.836071,104746.320312,air
3,1680757,31.77236,9.128294,36.535694,128772.632812,air
4,1680811,32.143959,9.130427,35.546619,105719.59375,air
5,1680866,31.841421,9.129196,36.11306,92119.46875,air
6,1680921,31.593801,9.126682,36.276276,81244.046875,air
7,1680976,31.450069,9.127339,36.261436,114362.296875,air
0,1683591,31.47962,9.126367,37.249989,120840.21875,air
1,1683646,31.476505,9.125591,37.470791,98803.546875,air
2,1683701,31.620214,9.128012,36.829933,103917.1875,air
3,1683756,31.77236,9.128115,36.55312,128578.601562,air
4,1683811,32.131351,9.130117,35.55114,105198.273438,air
5,1683866,31.83637,9.129091,36.124283,91723.398438,air
6,1683921,31.588766,9.126643,36.28159,81321.476562,air
7,1683976,31.447515,9.127121,36.249477,114438.984375,air
0,1686591,31.47962,9.126348,37.267555,120925.835938,air
1,1686647,31.476505,9.125626,37.488434,98518.375,air
2,1686701,31.620214,9.127993,36.847546,103664.710938,air
3,1686756,31.762247,9.127752,36.552059,128967.257812,air
4,1686811,32.136395,9.130119,35.569115,105328.125,air
5,1686866,31.83637,9.128886,36.124283,91526.632812,air
6,1686921,31.593801,9.126455,36.287949,81244.046875,air
7,1686976,31.450069,9.127233,36.273132,113828.367188,air
0,1689591,31.482132,9.126159,37.273678,120754.71875,air
1,1689646,31.473959,9.125553,37.488159,99090.382812,air
2,1689701,31.627813,9.128156,36.848343,104746.320312,air
3,1689756,31.762247,9.127718,36.563675,128967.257812,air
4,1689811,32.131351,9.130153,35.580223,105133.46875,air
5,1689866,31.833843,9.128966,36.135769,91822.09375,air
6,1689921,31.603867,9.126255,36.294838,81244.046875,air
7,1689977,31.460281,9.127206,36.291737,114362.296875,air
